# Time-averaged data for fix fxAvg
# TimeStep v_vTemp v_vPress v_vDens v_vPE v_vKE v_vEtot v_vVol
200000 298.776 26.0574 0.988123 -8927.11 1445.44 -7481.68 24546.1
201000 295.701 21.1045 0.988123 -8986.84 1430.56 -7556.28 24546.1
202000 298.45 18.8339 0.988123 -8983.36 1443.86 -7539.51 24546.1
203000 298.136 31.2548 0.988123 -8945.26 1442.34 -7502.92 24546.1
204000 293.02 -363.424 0.988123 -8977.48 1417.59 -7559.89 24546.1
205000 301.011 226.652 0.988123 -8946.55 1456.25 -7490.3 24546.1
206000 294.773 -514.975 0.988123 -8994.15 1426.07 -7568.08 24546.1
207000 301.668 -125.718 0.988123 -8949.62 1459.43 -7490.19 24546.1
208000 297.748 135.664 0.988123 -8982.88 1440.46 -7542.42 24546.1
209000 294.407 510.381 0.988123 -8977.47 1424.3 -7553.17 24546.1
210000 301.255 253.461 0.988123 -8944.24 1457.43 -7486.81 24546.1
211000 295.432 -100.637 0.988123 -8996.23 1429.26 -7566.98 24546.1
212000 292.53 -134.126 0.988123 -9015.42 1415.22 -7600.2 24546.1
213000 302.984 -100.238 0.988123 -8968.73 1465.79 -7502.94 24546.1
214000 298.472 2.26692 0.988123 -9004.87 1443.96 -7560.91 24546.1
215000 299.971 -139.006 0.988123 -8969.68 1451.21 -7518.47 24546.1
216000 295.039 -388.256 0.988123 -8931.63 1427.36 -7504.28 24546.1
217000 298.633 139.286 0.988123 -8938.5 1444.74 -7493.76 24546.1
218000 294.509 212.35 0.988123 -8919.72 1424.79 -7494.93 24546.1
219000 298.752 251.462 0.988123 -8931.61 1445.32 -7486.29 24546.1
220000 301.143 -87.999 0.988123 -8882.81 1456.88 -7425.93 24546.1
221000 295.738 -375.247 0.988123 -8942.43 1430.74 -7511.69 24546.1
222000 295.963 155.637 0.988123 -8971.02 1431.83 -7539.2 24546.1
223000 299.72 74.6684 0.988123 -8918.42 1450 -7468.41 24546.1
224000 299.04 -72.4463 0.988123 -8902.06 1446.71 -7455.35 24546.1
225000 294.188 -626.524 0.988123 -8956.93 1423.24 -7533.69 24546.1
226000 297.307 -70.8626 0.988123 -8894.89 1438.33 -7456.56 24546.1
227000 301.075 186.103 0.988123 -8908.16 1456.56 -7451.6 24546.1
228000 291.558 -195.064 0.988123 -8927.66 1410.52 -7517.14 24546.1
229000 301.121 -147.833 0.988123 -8909.52 1456.78 -7452.74 24546.1
230000 292.059 -8.68389 0.988123 -8959.36 1412.94 -7546.43 24546.1
231000 299.362 291.637 0.988123 -8931.19 1448.27 -7482.93 24546.1
232000 292.641 -153.59 0.988123 -8967.2 1415.75 -7551.44 24546.1
233000 296.955 254.808 0.988123 -8985.11 1436.63 -7548.48 24546.1
234000 300.738 -194.278 0.988123 -8964.84 1454.93 -7509.91 24546.1
235000 301.827 -238.61 0.988123 -8874.7 1460.19 -7414.51 24546.1
236000 298.648 -4.38172 0.988123 -8926.39 1444.81 -7481.57 24546.1
237000 295.539 92.5987 0.988123 -8951.17 1429.77 -7521.39 24546.1
238000 301.955 -343.242 0.988123 -8916.26 1460.81 -7455.45 24546.1
239000 291.863 -389.3 0.988123 -8951.44 1411.99 -7539.45 24546.1
240000 299.747 30.6589 0.988123 -8934.81 1450.13 -7484.67 24546.1
241000 298.916 145.197 0.988123 -8920.08 1446.11 -7473.97 24546.1
242000 296.744 -42.4834 0.988123 -8986.85 1435.6 -7551.25 24546.1
243000 297.114 -269.278 0.988123 -8976.82 1437.4 -7539.43 24546.1
244000 296.389 49.4026 0.988123 -8971.3 1433.89 -7537.42 24546.1
245000 299.722 -212.011 0.988123 -8930.59 1450.01 -7480.58 24546.1
246000 304.29 -275.519 0.988123 -8847.57 1472.11 -7375.46 24546.1
247000 298.243 -741.329 0.988123 -8912.96 1442.85 -7470.1 24546.1
248000 297.13 -269.709 0.988123 -8958.32 1437.47 -7520.85 24546.1
249000 298.015 47.2845 0.988123 -9015.43 1441.75 -7573.67 24546.1
250000 302.822 155.895 0.988123 -8974.03 1465.01 -7509.02 24546.1
251000 295.258 -88.6206 0.988123 -9001.62 1428.41 -7573.2 24546.1
252000 297.042 -273.588 0.988123 -8945.07 1437.05 -7508.03 24546.1
253000 296.14 -33.4979 0.988123 -8926.24 1432.68 -7493.56 24546.1
254000 298.674 -131.3 0.988123 -8944.81 1444.94 -7499.87 24546.1
255000 294.45 50.6402 0.988123 -8981.96 1424.51 -7557.45 24546.1
256000 299.312 -102.675 0.988123 -8907.76 1448.03 -7459.73 24546.1
257000 298.736 -169.671 0.988123 -8925.07 1445.24 -7479.83 24546.1
258000 299.319 -433.266 0.988123 -8953.04 1448.06 -7504.98 24546.1
259000 301.285 -318.662 0.988123 -8936.05 1457.57 -7478.47 24546.1
260000 297.182 -229.302 0.988123 -8997.16 1437.73 -7559.43 24546.1
261000 301.597 16.3023 0.988123 -8967.53 1459.08 -7508.45 24546.1
262000 300.647 135.764 0.988123 -8947.11 1454.48 -7492.62 24546.1
263000 295.014 -357.393 0.988123 -9007.21 1427.23 -7579.98 24546.1
264000 296.511 -161.549 0.988123 -8953.91 1434.48 -7519.43 24546.1
265000 300.351 89.3046 0.988123 -8955.64 1453.05 -7502.59 24546.1
266000 294.881 257.902 0.988123 -8981.25 1426.59 -7554.66 24546.1
