# Step MSD_caffeine(A^2)
# TimeStep c_cMSDcaf[4]
552000 18.8078
553000 18.3002
554000 19.3702
555000 19.6928
556000 21.4849
557000 23.3308
558000 22.2107
559000 20.4424
560000 22.4518
561000 22.196
562000 21.8817
563000 21.122
564000 20.9272
565000 23.599
566000 21.7587
567000 21.7062
568000 23.6231
569000 21.7869
570000 22.8949
571000 20.9205
572000 19.6972
573000 18.2368
574000 19.075
575000 18.7532
576000 15.1853
577000 15.9288
578000 16.5771
579000 14.4699
580000 14.4166
581000 13.6491
582000 11.021
583000 10.3021
584000 10.8587
585000 12.5614
586000 12.4175
587000 10.3048
588000 10.8549
589000 9.64622
590000 7.35469
591000 8.34272
592000 12.1642
593000 11.018
594000 11.0165
595000 11.8486
596000 15.3893
597000 16.2708
598000 17.3022
599000 16.9102
600000 17.5833
601000 16.2595
602000 17.4103
603000 20.3468
604000 21.7345
605000 23.2525
606000 23.0834
607000 24.3038
608000 24.5443
609000 24.4752
610000 23.2622
611000 24.0032
612000 24.7938
613000 26.3233
614000 23.8122
615000 21.1956
616000 21.791
617000 21.3065
618000 19.5577
619000 21.0652
620000 20.3175
621000 19.7409
622000 18.0459
623000 17.9347
624000 17.9214
625000 19.6892
626000 19.0337
627000 18.063
628000 16.7312
629000 15.2802
630000 15.163
631000 16.8566
632000 15.786
633000 15.75
634000 18.6265
635000 18.0473
636000 17.0543
637000 17.6922
638000 16.7724
639000 19.2208
640000 20.722
641000 21.1712
642000 20.6648
643000 22.9771
644000 23.6559
645000 22.1677
646000 21.0917
647000 21.4532
648000 20.8807
649000 19.2259
650000 18.9457
651000 18.6117
652000 15.9395
653000 18.3752
654000 18.9452
655000 18.6113
656000 16.752
657000 18.3605
658000 18.4846
659000 18.6559
660000 18.8959
661000 18.3075
662000 18.5702
663000 14.7736
664000 16.6608
665000 16.5991
666000 16.8125
667000 15.9681
668000 11.823
669000 11.9258
670000 10.8398
671000 12.6766
672000 12.5172
673000 13.394
674000 14.2392
675000 12.1841
676000 10.9526
677000 11.9909
678000 10.3537
679000 11.6446
680000 13.3914
681000 12.1077
682000 13.6817
683000 16.1668
684000 15.193
685000 14.4626
686000 15.9823
687000 16.5799
688000 14.9444
689000 16.9845
690000 17.2793
691000 18.5957
692000 18.2823
693000 17.272
694000 19.7649
695000 18.7006
696000 19.8048
697000 18.875
698000 20.7639
699000 22.2492
700000 23.294
701000 18.9963
702000 19.3624
703000 19.8088
704000 17.6227
705000 20.7986
706000 20.7723
707000 20.3902
708000 18.4908
709000 19.1641
710000 18.7899
711000 18.4561
712000 19.619
713000 19.436
714000 15.9633
715000 15.4247
716000 16.1984
717000 18.2743
718000 20.4132
719000 17.4359
720000 13.023
721000 12.8725
722000 12.1924
723000 12.5271
724000 11.2955
725000 11.093
726000 13.9438
727000 10.7419
728000 10.8705
729000 12.9863
730000 13.6773
